file_name,cusip,identifier
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BE0,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BK6,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404408,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404507,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404AX9,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404AZ4,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BM2,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BP5,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BQ3,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BR1,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BS9,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BT7,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BU4,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BV2,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BW0,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BX8,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BY6,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404BZ3,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CA7,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CB5,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CC3,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CD1,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CE9,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CF6,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CG4,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CP4,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CH2,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CJ8,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CK5,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CL3,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CM1,20190117_SHC-Acceptance_CDS
20190117_SHC-Acceptance_CDS_deliverable-obligations,812404CN9,20190117_SHC-Acceptance_CDS
